渔船ID,坐标X,坐标Y,速度,方向,时间,作业类型,海域
闽渔2458,423.07,143.15,13.6,107,2025-06-10 04:00:00,围网,南海北部
闽渔2458,421.56,144.4,34.2,81,2025-06-10 04:26:00,围网,南海北部
闽渔2458,421.79,142.61,12.4,211,2025-06-10 04:55:00,围网,南海北部
闽渔2458,421.74,141.77,11.1,122,2025-06-10 05:26:00,围网,南海北部
闽渔2458,420.84,143.22,10.9,154,2025-06-10 06:05:00,围网,南海北部
闽渔2458,423.26,144.82,14.1,357,2025-06-10 06:31:00,围网,南海北部
闽渔2458,421.51,142.13,13.1,320,2025-06-10 06:58:00,围网,南海北部
闽渔2458,423.68,141.37,13.9,268,2025-06-10 07:29:00,围网,南海北部
闽渔2458,420.95,143.63,9.1,211,2025-06-10 07:57:00,围网,南海北部
闽渔2458,418.51,142.51,8.5,256,2025-06-10 08:27:00,围网,南海北部
闽渔2458,416.64,142.61,10.8,102,2025-06-10 09:01:00,围网,南海北部
闽渔2458,417.92,143.45,14.6,342,2025-06-10 09:29:00,围网,南海北部
闽渔2458,415.65,141.93,8.2,86,2025-06-10 10:03:00,围网,南海北部
闽渔2458,415.01,140.79,9.7,34,2025-06-10 10:29:00,围网,南海北部
闽渔2458,416.02,142.49,14.1,140,2025-06-10 10:55:00,围网,南海北部
闽渔2458,416.11,143.39,11.2,75,2025-06-10 11:26:00,围网,南海北部
闽渔2458,417.23,145.94,14.1,22,2025-06-10 12:00:00,围网,南海北部
闽渔2458,419.58,143.17,11.8,160,2025-06-10 12:27:00,围网,南海北部
闽渔2458,417.89,142.95,11.0,312,2025-06-10 13:04:00,围网,南海北部
闽渔2458,420.71,141.03,13.1,286,2025-06-10 13:34:00,围网,南海北部
闽渔2458,423.62,143.94,8.8,258,2025-06-10 14:02:00,围网,南海北部
闽渔2458,424.21,143.85,11.6,290,2025-06-10 14:31:00,围网,南海北部
闽渔2458,424.51,143.5,12.4,210,2025-06-10 15:04:00,围网,南海北部
闽渔2458,421.75,144.59,12.1,52,2025-06-10 15:30:00,围网,南海北部
闽渔2458,421.84,143.82,12.1,20,2025-06-10 16:02:00,围网,南海北部
闽渔2458,419.73,141.72,8.8,82,2025-06-10 16:34:00,围网,南海北部
闽渔2458,417.5,141.73,8.9,163,2025-06-10 17:02:00,围网,南海北部
闽渔2458,418.32,143.56,10.6,87,2025-06-10 17:26:00,围网,南海北部
闽渔2458,419.17,141.49,13.6,223,2025-06-10 18:05:00,围网,南海北部
闽渔2458,419.92,138.77,11.2,341,2025-06-10 18:31:00,围网,南海北部
闽渔2458,417.68,139.99,10.4,4,2025-06-10 19:02:00,围网,南海北部
闽渔2458,418.25,140.81,9.8,210,2025-06-10 19:29:00,围网,南海北部
闽渔2458,417.58,141.27,10.5,157,2025-06-10 19:55:00,围网,南海北部
闽渔2458,418.85,140.56,10.9,67,2025-06-10 20:00:00,围网,南海北部
闽渔2458,420.94,141.07,10.6,341,2025-06-10 20:00:00,围网,南海北部
闽渔2458,421.99,140.49,9.0,42,2025-06-10 20:00:00,围网,南海北部
